"name","counties","archiveyear"
"Lake Fire","Shasta","2016"
"Newmark Fire","Fresno","2016"
"Arroyo Fire","Monterey","2016"
"Pala Fire","San Diego","2016"
"Foothill Fire","Lake","2016"
"Creek Fire","Napa","2016"
"Cotton Fire","Kern","2016"
"Oak Fire","Solano","2016"
"Baker Fire","Calaveras","2016"
"Mill Fire","Siskiyou","2016"
"Lowe Fire","Monterey","2016"
"Ruff Fire ","Mendocino","2016"
"Spring Fire","San Bernardino","2016"
"Storksbill Fire","El Dorado","2016"
"Casitas Fire","Ventura","2016"
"70 Fire","Butte","2016"
"Auburn Fire","Nevada","2016"
"Laguna Fire","Orange","2016"
"Bell Fire","Amador","2016"
"Kugelman Fire","Lake","2016"
"Kuehner Fire","Ventura","2016"
"Paskenta Fire","Tehama","2016"
"Walker Fire","Kern","2016"
"Dockery Fire","Lassen","2016"
"Boys Fire","Sacramento","2016"
"Evergreen Fire","Riverside","2016"
"Franklin Fire","Contra Costa","2016"
"Phoenix Fire","Nevada","2016"
"Fork Fire","Madera","2016"
"Mina Fire","Mendocino","2016"
"Knoxville Fire","Lake","2016"
"Gopher Fire","San Diego","2016"
"Mountain Fire","Shasta","2016"
"Neal Fire","Butte","2016"
"Stagecoach Fire","Calaveras","2016"
"Campo Fire","Calaveras","2016"
"Moffett Fire","Siskiyou","2016"
"Frymire Fire","Tuolumne","2016"
"Clay Fire","Sacramento","2016"
"Old Fire","Butte","2016"
"Lone Pine Fire","Inyo","2016"
"Hidden Fire","San Benito","2016"
"70 Fire","Butte","2016"
"Taglio Fire","Merced","2016"
"Gopher Fire","San Diego","2016"
"Rock Fire","San Diego","2016"
"Deer Fire","Amador","2016"
"Bailey Fire","Siskiyou","2016"
"Oak Fire","Santa Clara","2016"
"Oak Fire","Santa Clara","2016"
"Alder Fire","El Dorado","2016"
"North Branch Extension Fire","Lake","2016"
"Aukum Fire","El Dorado","2016"
"Bryson Fire","Monterey","2016"
"Keswick Fire","Shasta","2016"
"Stafford Fire","Humboldt","2016"
"Table Fire","Siskiyou","2016"
"Summit Fire","Humboldt","2016"
"Ken Fire","San Bernardino","2016"
"Mockingbird Fire","Lake","2016"
"Edison Fire","Ventura","2016"
"Willow Fire","Amador","2016"
"Shelter Fire","Ventura","2016"
"Collier Fire","Tehama","2016"
"Fiddler Fire","Shasta","2016"
"Jacobson Fire","Tulare","2016"
"Mokelumne Fire","Alpine","2016"
"Sand Fire","Los Angeles","2016"
"Soda Fire","San Luis Obispo","2016"
"Old Fire","Los Angeles","2016"
"Chimney Fire","Tulare","2016"
"Gorman Fire","Los Angeles","2016"
"Thomas Fire","Santa Barbara","2017"
"Thomas Fire","Ventura","2017"
"Long Valley Fire","Lassen","2017"
"Modoc July Complex","Modoc","2017"
"Detwiler Fire","Mariposa","2017"
"Eclipse Complex","Siskiyou","2017"
"Mesa Fire","Santa Barbara","2017"
"Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex)","Napa","2017"
"Nuns / Adobe / Norrbom/ Pressley / Partrick Fires / Oakmont (Central LNU Complex)","Sonoma","2017"
"Atlas Fire (Southern LNU Complex)","Napa","2017"
"Atlas Fire (Southern LNU Complex)","Solano","2017"
"Garza Fire","Kings","2017"
"Miller Complex","Siskiyou","2017"
"West Fire","Yuba","2017"
"Tubbs Fire (Central LNU Complex)","Napa","2017"
"Tubbs Fire (Central LNU Complex)","Sonoma","2017"
"Pier Fire","Tulare","2017"
"Redwood Valley Fire (Mendocino Lake Complex)","Mendocino","2017"
"Alamo Fire","San Luis Obispo","2017"
"Orleans Complex","Siskiyou","2017"
"Helena - Fork Fire","Trinity","2017"
"Lion Fire","Tulare","2017"
"R-4 Fire","Lassen","2017"
"Whittier Fire","Santa Barbara","2017"
"Pocket Fire (Central LNU Complex)","Sonoma","2017"
"Schaeffer Fire","Tulare","2017"
"Creek Fire","Los Angeles","2017"
"Buck Fire","Trinity","2017"
"Railroad Fire","Madera","2017"
"Elm Fire","Fresno","2017"
"Cascade Fire (Wind Complex)","Yuba","2017"
"Canyon 2 Fire","Orange","2017"
"Slinkard Fire","Mono","2017"
"Cherokee Fire","Butte","2017"
"Empire Fire","Mariposa","2017"
"Parker 2 Fire","Modoc","2017"
"La Tuna Fire ","Los Angeles","2017"
"South Fork Fire","Mariposa","2017"
"Manzanita Fire","Riverside","2017"
"LaPorte Fire (Wind Complex)","Butte","2017"
"Rye Fire","Los Angeles","2017"
"Mud Fire","Lassen","2017"
