"name","acres","counties_affected","archiveyear"
"San Gabriel Complex (Formerly Fish & Reservoir Fires)","5399","1","2016"
"Lake Fire","106","2","2014"
"Holiday Fire","113","1","2018"
"Donnell Fire","36450","1","2018"
"Mesa Fire","211","1","2015"
"Highway Fire","1049","2","2015"
"Ken Fire","20","1","2016"
"Fairmont Fire","10","1","2019"
"Community Fire","35","1","2019"
"Oak Fire","128","2","2017"
"W-2 Fire","530","1","2017"
"Mineral Fire","7050","1","2016"
"Flume Fire","25","1","2013"
"Morgan Fire","40","1","2014"
"Syar Fire","10","1","2018"
"Hyatt Fire","441","1","2018"
"W1 McDonald Fire","1020","1","2019"
"Lakeville Fire","158","1","2013"
"Hillside Fire","200","1","2019"
"Pacheco Fire","341","1","2016"
"Honey Flooding","0","1","2018"
"Fork Fire","55","1","2015"
"Monticello Fire","6488","1","2014"
"Betabel Fire","25","1","2015"
"White Fire","26","1","2018"
"Stewart Fire","122","1","2017"
"Nelson Fire ","80","2","2019"
"Cascade Fire","20","1","2014"
"Mercury Fire","95","1","2016"
"Frazier Fire","86","1","2016"
"Refuge Fire","2500","1","2019"
"Magic Fire","149","1","2013"
"Creston FIre","60","1","2018"
"Grape Fire","0","1","2018"
"Mill Creek 1 Fire","3674","1","2018"
"Mines Fire","44","1","2017"
"Homestead Fire","50","1","2013"
"Bitterwater Fire","47","2","2017"
"Blaine Fire","1044","1","2017"
"Newmark Fire","70","1","2016"
"Hathaway Fire","0","1","2013"
" Cristianitos Fire","0","1","2017"
"Rey Fire ","32606","1","2016"
"Wilson Fire","50","2","2017"
"Meridian Fire","50","1","2019"
"Smiley Fire","124","1","2013"
"Poly Fire","105","1","2017"
"Canyon Fire","2662","6","2017"
"Kuehner Fire","45","1","2016"
"Calgary Fire","50","1","2017"
"Lumpkin Fire","1042","1","2015"
"Placentia Fire","63","1","2017"
"Briceburg Fire","5563","1","2019"
"Tubbs Fire (Central LNU Complex)","36807","2","2017"
"Collier Fire","11","1","2016"
"Building Fire","10","1","2018"
"Baxter Fire","26","1","2015"
"Clay Fire","68","1","2017"
"Gasquet Complex","30361","1","2015"
"Bear Fire","25","1","2019"
"Pine Fire","114","1","2018"
"Rough Fire ","151623","1","2015"
"Jurupa Fire","311","1","2013"
"Martin Fire","37","1","2018"
"Yokohl Fire","33","1","2019"
"Banner Fire","217","1","2014"
"Snell Fire","2490","1","2018"
"Sandra Fire","10","1","2017"
"Jerusalem Fire","25118","2","2015"
"Tuscan Fire","50","1","2018"
"Bryant Fire","325","2","2017"
"Roxie Fire (Formerly 1-1 Fire)","167","1","2018"
"Fairview Fire","26","1","2017"
"Bellagio Fire","12","1","2018"
"Interlake Fire","47","1","2014"
"Hwy Fire","300","1","2019"
"Shady Fire","130","1","2019"
"Experimental Fire","56","1","2018"
"Quarry Fire","183","1","2017"
"Mesa Fire ","448","1","2019"
"Warren Fire","19","1","2019"
"Tucker Fire","14217","1","2019"
"Muir Fire","67","1","2019"
"Stuhr Fire ","190","1","2019"
"Rattlesnake Fire","0","1","2017"
"Eagle Fire","2100","2","2018"
"32 Fire","17","1","2019"
"54 Fire","40","1","2013"
"Pilot Fire","30","1","2019"
"Foothill Fire ","25","1","2014"
"Eel Fire","972","1","2018"
"Grub Fire","85","1","2016"
"Taglio Fire","12","1","2017"
"South Complex","29416","1","2015"
"Calaveras Fire ","35","1","2019"
"Power Fire","48","1","2017"
"Happy Camp Fire","44","1","2013"
"Clover Fire","8073","1","2013"
"Lake Fire","712","2","2013"
"Flat Fire","306","1","2016"
"Riverbottom Fire","45","1","2017"
"Reservoir Fire","128","1","2019"
"Gulch Fire","650","1","2018"
"Valley Fire","40","1","2013"
"Washington Fire","32","1","2017"
"Potrero Fire","50","1","2015"
"Fork Complex","36503","1","2015"
"Saddle Ridge Fire","8799","1","2019"
"Bangor Fire","130","1","2016"
"Cove Fire","25","1","2017"
"McGanney Fire","73","1","2013"
"Stuhr Fire","63","1","2018"
"Snowstorm Fire","263","1","2019"
"Bully Fire","12661","1","2014"
"Caldwell Fire","1319","1","2017"
"Wagner Fire","22","1","2018"
"Ascot Fire","40","1","2015"
"Keenbrook Fire","53","1","2018"
"Cloverdale Fire","100","1","2018"
"Apple Fire","110","1","2015"
"66 Fire","15","1","2017"
"Highland Fire","63","1","2018"
"Hub Fire","31","1","2017"
"Wildcat Fire","171","1","2015"
"Peterson Fire","215","1","2015"
"School Fire","12","1","2018"
"Plymire Fire","23","1","2018"
"Loma Fire","81","1","2017"
"Eighty Eight Fire","822","1","2018"
"Harte Fire","240","1","2019"
"Refuse Fire","15","1","2013"
"Soda Fire","0","1","2016"
"Lake Fire","31359","2","2015"
"Sky Fire","17","1","2017"
"Detwiler Fire","81826","1","2017"
"Rose Fire","338","2","2017"
"Nees Fire","1756","1","2018"
"George Fire","150","1","2013"
"Nacimiento Fire","150","1","2018"
"Independence Fire","11","1","2017"
"Cross Fire","289","2","2019"
"Grape Fire","146","1","2017"
"Lodge Lightning Complex","12536","1","2014"
"Pine Fire","43","4","2017"
"Gilman Fire","15","1","2013"
"Lake Fire","800","2","2017"
"Latrobe Fire","1286","2","2017"
"Indian Fire","175","1","2014"
"Plumas Lightning Complex (Hough)","513","1","2013"
"Interstate Fire","100","1","2014"
"Dam Fire","23","1","2013"
"Bee Fire","100","1","2013"
"Duzel Fire","15","1","2019"
"5 Fire","25","1","2017"
"Foster Fire ","17","1","2019"
"Heacock Fire","40","1","2013"
"Oakmont Fire (Central LNU Complex)","100","1","2017"
"Roadrunner Fire","96","1","2013"
"Sierra Fire","200","2","2013"
"Eiler Fire","32416","1","2014"
"Castro Fire","48","1","2018"
"Meadow Fire","4772","1","2014"
"Meadow Fire (Not a CAL FIRE incident)","103","1","2019"
"Double Fire","70","1","2013"
"Camatta Fire","70","1","2017"
"Hopper Fire","25","1","2017"
"Vestal Fire","40","1","2017"
"Casner Fire","14","1","2018"
"Serenas Fire","48","1","2017"
"Gate Fire","2056","1","2017"
